X,Y,NAME,LICENSE_NUMBER,FACTYPE,ADDRESS,ADDRESSLINE2,CITY,STATE,ZIPCODE,PHONE,WARD,ANC,SSL,SEASONAL,H1N1,XCOORD,YCOORD,MAR_ID,GIS_ID,GIS_LAST_MOD_DTTM,SE_ANNO_CAD_DATA,GLOBALID,CREATED,EDITED,OBJECTID
-8577006.22629108,4707591.28564632,G W MEDICAL FACULTY ASSOCIATES PHARMACY,RX0000301,,2150 PENNSYLVANIA AVE NW,G201,Washington,DC,20037,202-741-2218,Ward 2,ANC 2A,0075    0048,,,395788.2,137086.96,242494,,2025/05/03 12:55:29+00,,{343BC84E-7826-0C58-E063-782F520A417E},,,6698
-8579568.33526124,4710195.35549738,CVS/PHARMACY #2378,RX1000406,,2226 WISCONSIN AVE NW,,Washington,DC,20007,401-765-1500,Ward 3,ANC 3B,1300    0556,,,393793.35,139108.9,275326,,2025/05/03 12:55:29+00,,{343BC84E-7827-0C58-E063-782F520A417E},,,6699
-8568005.07257438,4701682.78548305,"DISTRICT OF COLUMBIA CVS PHARMACY, LLC DBA CVS PHARMACY #1360",RX2100162,,2724 GOOD HOPE RD SE,,Washington,DC,20020,401-765-1500,Ward 7,ANC 7B,,,,402803.66,132499.74,313186,,2025/05/03 12:55:29+00,,{343BC84E-7828-0C58-E063-782F520A417E},,,6700
-8571784.13665045,4707420.16232822,GIANT PHARMACY #2381,RX0000067,,300 H STREET NE,,Washington,DC,20002,717-240-7541,Ward 6,ANC 6C,"0776    0054,0776    2001,0776    2002,0776    2003",,,399857.33,136953.04,308511,,2025/05/03 12:55:29+00,,{343BC84E-7829-0C58-E063-782F520A417E},,,6701
-8575822.94276164,4711770.7134488,MT. PLEASANT CARE PHARMACY,RX250000129,,3169 MOUNT PLEASANT ST NW,,Washington,DC,20010,202-387-3100,Ward 1,ANC 1D,2595    1037,,,396711.58,140329.3,236420,,2025/05/03 12:55:29+00,,{343BC84E-782A-0C58-E063-782F520A417E},,,6702
-8574324.42599033,4712448.49371145,CVS/PHRMACY #2787,RX1000423,,3642 GEORGIA AVE NW,,Washington,DC,20010,401-765-1500,Ward 1,ANC 1E,2897    0147,,,397878.91,140854.66,308316,,2025/05/03 12:55:29+00,,{343BC84E-782B-0C58-E063-782F520A417E},,,6703
-8579983.85201545,4709077.23730604,MEDSTAR GEORGETOWN UNIVERSITY HOSPITAL PHARMACY,RX1200007,,3800 RESERVOIR RD NW,,Washington,DC,20007,202-444-1522,Ward 2,ANC 2E,"1321    0824,1321    0001",,,393468.94,138241.62,291547,,2025/05/03 12:55:29+00,,{343BC84E-782C-0C58-E063-782F520A417E},,,6704
-8566077.35767749,4706339.94479708,APEX CARE PHARMACY,RX1100437,,3839 MINNESOTA AVE NE,,Washington,DC,20019,202-388-1900,Ward 7,ANC 7F,5050    0084,,,404304.67,136115.85,29919,,2025/05/03 12:55:29+00,,{343BC84E-782D-0C58-E063-782F520A417E},,,6705
-8570020.92494198,4705055.65211437,NAI SATURN EASTERN LLC DBA SAFEWAY PHARMACY # 3217,RX2000158,,415 14TH STREET SE,,Washington,DC,20003,208-395-4303,Ward 6,ANC 6B,"1042    0829,1042    0109,1042    7000",,,401231.56,135117.92,26239,,2025/05/03 12:55:29+00,,{343BC84E-782E-0C58-E063-782F520A417E},,,6706
-8578672.52436185,4713786.64030353,CVS/PHARMACY #1362,RX1000395,,4309 CONNECTICUT AVE NW,,Washington,DC,20008,401-765-1500,Ward 3,ANC 3F,"2049    0805,2049    0006",,,394493.14,141894.2,302109,,2025/05/03 12:55:29+00,,{343BC84E-782F-0C58-E063-782F520A417E},,,6707
-8573644.05114109,4707857.72914527,NAI SATURN EASTERN LLC DBA SAFEWAY PHARMACY #2737,RX0000075,,490 L ST NW,,Washington,DC,20001,208-395-4303,Ward 6,ANC 6E,0515    0158,,,398408.1,137292.77,304767,,2025/05/03 12:55:29+00,,{343BC84E-7830-0C58-E063-782F520A417E},,,6708
-8570477.81810713,4704861.3547313,CVS/PHARMACY #1344,RX1000413,,500 12TH ST SE,,Washington,DC,20003,401-765-1500,Ward 6,ANC 6B,"1019    0828,1019    0029",,,400875.47,134967.05,288394,,2025/05/03 12:55:29+00,,{343BC84E-7831-0C58-E063-782F520A417E},,,6709
-8574619.49534136,4716932.91581335,METRO CARE PHARMACY,RX1200004,,6323 GEORGIA AVE NW,SUITE 5,Washington,DC,20011,202-722-0171,Ward 4,ANC 4B,2978    0040,,,397650.13,144332.45,254165,,2025/05/03 12:55:29+00,,{343BC84E-7832-0C58-E063-782F520A417E},,,6710
-8571221.28776912,4707346.41292139,CVS/ PHARMACY #10287,RX0000089,,645 HST NE,,Washington,DC,20002,401-765-1500,Ward 6,ANC 6C,"0859    0839,0859    0177",,,400295.92,136895.81,288821,,2025/05/03 12:55:29+00,,{343BC84E-7833-0C58-E063-782F520A417E},,,6711
-8574686.0679438,4717302.1580962,CVS/PHARMACY #1364,RX1000373,,6514 GEORGIA AVE NW,,Washington,DC,20012,401-765-1500,Ward 4,ANC 4A,2946    0044,,,397598.39,144618.75,285342,,2025/05/03 12:55:29+00,,{343BC84E-7834-0C58-E063-782F520A417E},,,6712
-8573972.89266451,4707756.59192346,CVS PHARMACY #10685,RX0000100,,675 K  STREET NW,,Washington,DC,20001,401-765-1500,Ward 6,ANC 6E,0451    0033,,,398151.85,137214.34,313510,,2025/05/03 12:55:29+00,,{343BC84E-7835-0C58-E063-782F520A417E},,,7513
-8571064.14346604,4705935.48907383,MORTON 8TH ST. PHARMACY,RX0000106,,724 EAST CAPITOL ST NE,,Washington,DC,20003,443-928-6513,Ward 6,ANC 6C,"0897    0800,0897    0001",,,400418.43,135800.77,77931,,2025/05/03 12:55:29+00,,{343BC84E-7836-0C58-E063-782F520A417E},,,7514
-8572379.57726367,4707660.00205974,35 K STREET PHARMACY,RX0000056,,35 K ST NE,35 K ST NE,Washington,DC,20002,202-442-4954,Ward 6,ANC 6E,"0675    0838,0675    0291",,,399393.36,137139.19,287960,,2025/05/03 12:55:29+00,,{343BC84E-7837-0C58-E063-782F520A417E},,,7515
-8576947.45643703,4707776.51333315,AIDS HEALTHCARE FOUNDATION DBA AHF PHARMACY,RX1900138,,2141 KST NW,STE 707,Washington,DC,20037,310-771-0562,Ward 2,ANC 2A,0073    0079,,,395834.07,137230.68,242481,,2025/05/03 12:55:29+00,,{343BC84E-7838-0C58-E063-782F520A417E},,,7516
-8571264.71930315,4705267.21456989,"AIDS HEALTHCARE FOUNDATION, DBA AHF PHARMACY",RX240000121,,650 PENNSYLVANIA AVE SE,SUITE 380,Washington,DC,20003,202-350-5005,Ward 6,ANC 6B,"0873    0831,0873    0113",,,400262.13,135282.05,280033,,2025/05/03 12:55:29+00,,{343BC84E-7839-0C58-E063-782F520A417E},,,7517
-8572096.71375896,4711616.77471572,APEX CARE SPECIALTY PHARMACY,RX0000059,,210 MICHIGAN AVE NE,,Washington,DC,20017,202-265-2200,Ward 5,ANC 5E,3499    0003,,,399613.92,140209.21,286613,,2025/05/03 12:55:29+00,,{343BC84E-783A-0C58-E063-782F520A417E},,,7518
-8575840.1534882,4709130.28957693,ALPHA PEOPLES DRUGS,RX2200172,,"1638 R STREET, NW",SUITE 1,Washington,DC,20009,202-265-7979,Ward 2,ANC 2B,0179    0115,,,396697.32,138280.78,242787,,2025/05/03 12:55:29+00,,{343BC84E-783B-0C58-E063-782F520A417E},,,7519
-8569366.70614735,4707247.9478257,AMERICAN ICT CORP DBA STERLING PHARMACY,RX250000133,,1647 BENNING ROAD NE,SUITE 101,Washington,DC,20002,202-399-7877,Ward 7,ANC 7D,4510    0151,,,401741.09,136819.58,58546,,2025/05/03 12:55:29+00,,{343BC84E-783C-0C58-E063-782F520A417E},,,7520
-8572527.22225581,4697581.92474398,BELLEVUE PHARMACY,RX0000108,,3939 SOUTH CAPITOL ST SW,,Washington,DC,20032,301-404-6067,Ward 8,ANC 8D,,,,399277.6,129314.35,276605,,2025/05/03 12:55:29+00,,{343BC84E-783D-0C58-E063-782F520A417E},,,7521
-8573073.3017395,4696615.04539896,BRIDGEPOINT CONTINUING CARE - NATIONAL HARBORSIDE HOSPITAL,RX240000124,,4601 MARTIN LUTHER KING JR. AVENUE SW,,Washington,DC,20032,20257457005711,Ward 8,ANC 8D,PAR 02520093,,,398851.56,128563.29,295152,,2025/05/03 12:55:29+00,,{343BC84E-783E-0C58-E063-782F520A417E},,,7522
-8571136.4669319,4706367.04224309,BRIDGEPOINT CONTINUING CARE HOSPITAL - CAPITOL HILL,RX240000125,,223 SEVENTH STREET NE,,Washington,DC,20002,20254657002161,Ward 6,ANC 6C,"0895    0843,0895    0076",,,400362.05,136135.72,315754,,2025/05/03 12:55:29+00,,{343BC84E-783F-0C58-E063-782F520A417E},,,7523
-8574069.41999998,4708416.25068204,CARY RX INCORPORATED,RX0000111,,1300 7TH STREET NW,STE 200,Washington,DC,20001,410-707-2868,Ward 2,ANC 2G,"0423    0800,0423    0001",,,398076.76,137726.26,243247,,2025/05/03 12:55:29+00,,{343BC84E-7840-0C58-E063-782F520A417E},,,7524
-8570446.13463271,4702308.5208949,CENTRAL PHARMACY LLC,RX1200018,,2202 MARTIN LUTHER KING JR AVE SE,,Washington,DC,20020,202-678-6010,Ward 8,ANC 8A,5791    0011,,,400900.39,132985.16,50580,,2025/05/03 12:55:29+00,,{343BC84E-7841-0C58-E063-782F520A417E},,,7525
-8573131.86183615,4711318.65185613,CHILDREN'S NATIONAL MEDICAL CENTER PHARMACY,RX8800078,,111 MICHIGAN AVE NW,,Washington,DC,20010,202-476-4244,Ward 5,ANC 5E,"3129    0801,3129    0002",,,398807.6,139978.02,243365,,2025/05/03 12:55:29+00,,{343BC84E-7842-0C58-E063-782F520A417E},,,7526
-8575270.36190594,4711759.49455012,COLUMBIA HEIGHTS PHARMACY,RX9300229,,3316 14TH ST NW,,Washington,DC,20010,202-548-0008,Ward 1,ANC 1A,2676    0795,,,397141.98,140320.43,300782,,2025/05/03 12:55:29+00,,{343BC84E-7843-0C58-E063-782F520A417E},,,7527
-8575110.90768963,4708519.16712549,"COMMUNITY, A WALGREENS PHARMACY #15298",RX1200008,,1325 14TH ST NW,,Washington,DC,20005,847-527-3993,Ward 2,ANC 2F,"0242    0839,0242    0005",,,397265.31,137806.36,225392,,2025/05/03 12:55:29+00,,{343BC84E-7844-0C58-E063-782F520A417E},,,7528
-8577314.35038922,4710765.90849288,CVS PHARMACY #1354,RX1200003,,2601 CONNECTICUT AVE NW,,Washington,DC,20008,401-765-1500,Ward 3,ANC 3C,"2204    0835,2204    0094",,,395549.49,139550.37,219106,,2025/05/03 12:55:29+00,,{343BC84E-7845-0C58-E063-782F520A417E},,,7529
-8575859.03634048,4708981.40363597,CVS PHARMACY #2733,RX0000294,,1601 17TH ST NW,,Washington,DC,20009,401-770-8836,Ward 2,ANC 2B,0179    0113,,,396682.56,138165.26,279240,,2025/05/03 12:55:29+00,,{343BC84E-7846-0C58-E063-782F520A417E},,,7530
-8572039.88619849,4704062.30550883,CVS/ PHARMACY #7102,RX1000371,,1100 NEW JERSEY AVENUE SE,,Washington,DC,20003,401-765-1500,Ward 8,ANC 8F,0742    0039,,,399657.93,134346.72,285822,,2025/05/03 12:55:29+00,,{343BC84E-7847-0C58-E063-782F520A417E},,,7531
-8574333.49337292,4704456.02092107,CVS/PHARMACY #10415,RX1700120,,804 MAINE AVE SW,,Washington,DC,20024,401-765-1500,Ward 6,ANC 6D,"0473    0930,0473    0088,0473    7004",,,397870.18,134652.64,314883,,2025/05/03 12:55:29+00,,{343BC84E-7848-0C58-E063-782F520A417E},,,7532
-8570580.43059989,4712196.38873512,CVS/PHARMACY #1333,RX1000377,,3601 12TH STREET NE,,Washington,DC,20017,401-765-1500,Ward 5,ANC 5B,"3927    0812,3927    0012",,,400794.92,140658.86,289172,,2025/05/03 12:55:29+00,,{343BC84E-7849-0C58-E063-782F520A417E},,,7533
-8575114.12450572,4707201.15856803,CVS/PHARMACY #1334,RX1000378,,717 14TH STREET NW,,Washington,DC,20005,401-765-1500,Ward 2,ANC 2C,0252    0078,,,397262.45,136783.55,279904,,2025/05/03 12:55:29+00,,{343BC84E-784A-0C58-E063-782F520A417E},,,7534
-8567028.7361994,4702962.22413403,CVS/PHARMACY #1335,RX2200169,,3250 PENNSYLVANIA AVE SE,,Washington,DC,20020,401-765-1500,Ward 7,ANC 7B,5539    0019,,,403564.43,133493.46,37625,,2025/05/03 12:55:29+00,,{343BC84E-784B-0C58-E063-782F520A417E},,,7535
-8578684.18551227,4708592.1576369,CVS/PHARMACY #1337,RX1000380,,1403 WISCONSIN AVE NW,,Washington,DC,20007,401-765-1500,Ward 2,ANC 2E,1256    0064,,,394481.25,137864.45,223778,,2025/05/03 12:55:29+00,,{343BC84E-784C-0C58-E063-782F520A417E},,,7536
-8571209.05274626,4705137.41823824,CVS/PHARMACY #1338,RX1000381,,661 PENNSYLVANIA AVE SE,,Washington,DC,20003,401-765-1500,Ward 6,ANC 6B,0874    0052,,,400305.52,135181.3,280104,,2025/05/03 12:55:29+00,,{343BC84E-784D-0C58-E063-782F520A417E},,,7537
-8575195.15976668,4707989.23911631,CVS/PHARMACY #1341,RX1000382,,1199 VERMONT AVE NW,,Washington,DC,20005,401-765-1500,Ward 2,ANC 2C,0215    0012,,,397199.52,137395.16,278914,,2025/05/03 12:55:29+00,,{343BC84E-784E-0C58-E063-782F520A417E},,,7538
-8582278.40698517,4713937.14506218,CVS/PHARMACY #1343,RX1000384,,4851 MASSACHUSETTS AVE NW,,Washington,DC,20016,401-765-1500,Ward 3,ANC 3E,"1499    0803,1499    0001",,,391685.21,142013.38,284996,,2025/05/03 12:55:29+00,,{343BC84E-784F-0C58-E063-782F520A417E},,,7539
-8580048.12178642,4716618.87346037,CVS/PHARMACY #1346,RX1000386,,5550 CONNECTICUT AVE NW,,Washington,DC,20015,401-765-1500,Ward 3,ANC 3/4G,1859    0093,,,393423.73,144091.34,263843,,2025/05/03 12:55:29+00,,{343BC84E-7850-0C58-E063-782F520A417E},,,7540
-8576553.08158129,4708709.03530392,CVS/PHARMACY #1347,RX1000387,,6 DUPONT CIRCLE NW,,Washington,DC,20036,401-765-1500,Ward 2,ANC 2B,0114    0025,,,396141.72,137954.16,241054,,2025/05/03 12:55:29+00,,{343BC84E-7851-0C58-E063-782F520A417E},,,7541
-8576214.52094618,4710773.52036012,CVS/PHARMACY #1351,RX1000370,,1755 COLUMBIA RD NW,,Washington,DC,20009,401-765-1500,Ward 1,ANC 1C,2580    0514,,,396406.23,139555.84,235930,,2025/05/03 12:55:29+00,,{343BC84E-7852-0C58-E063-782F520A417E},,,7542
-8577982.26111342,4712273.26044352,CVS/PHARMACY #1353,RX1000391,,3327 CONNECTICUT AVE NW,,Washington,DC,20008,401-765-1500,Ward 3,ANC 3C,"2218    0821,2218    0024",,,395029.94,140720.01,219245,,2025/05/03 12:55:29+00,,{343BC84E-7853-0C58-E063-782F520A417E},,,7543
-8576919.2546062,4706828.90684836,CVS/PHARMACY #1358,RX1000393,,2125 E STREET NW,,Washington,DC,20037,401-765-1500,Ward 2,ANC 2A,"0081    0844,0081    0101",,,395855.66,136495.26,300954,,2025/05/03 12:55:29+00,,{343BC84E-7854-0C58-E063-782F520A417E},,,7544
-8571023.75656262,4710367.31072776,CVS/PHARMACY #1363,RX1200010,,2350 WASHINGTON PLACE NE,SUITE 101-N,Washington,DC,20018,401-765-1500,Ward 5,ANC 5C,"3848    0825,3848    0059,3848    7001",,,400449.71,139239.89,306519,,2025/05/03 12:55:29+00,,{343BC84E-7855-0C58-E063-782F520A417E},,,7545
-8575855.45516949,4708765.56677901,CVS/PHARMACY #1365,RX1000397,,1637 P STREET NW,,Washington,DC,20036,401-765-1500,Ward 2,ANC 2B,0180    0088,,,396685.28,137997.78,225837,,2025/05/03 12:55:29+00,,{343BC84E-7856-0C58-E063-782F520A417E},,,7546
-8574857.40769237,4706737.48658975,CVS/PHARMACY #1842,RX1000412,,1275 PENNSYLVANIA AVE NW,,Washington,DC,20004,401-765-1500,Ward 2,ANC 2C,0291    0038,,,397462.38,136423.63,300418,,2025/05/03 12:55:29+00,,{343BC84E-7857-0C58-E063-782F520A417E},,,7547
-8579339.24356928,4715280.75467208,CVS/PHARMACY #2104,RX1000401,,5013 CONNECTICUT AVE NW,,Washington,DC,20008,401-765-1500,Ward 3,ANC 3F,1986    0008,,,393974.82,143053.3,262738,,2025/05/03 12:55:29+00,,{343BC84E-7858-0C58-E063-782F520A417E},,,7548
-8580514.55213864,4714425.64198978,CVS/PHARMACY #2174,RX1000402,,4555 WISCONSIN AVE NW,,Washington,DC,20016,401-765-1500,Ward 3,ANC 3E,1770    0023,,,393059.11,142390.91,300795,,2025/05/03 12:55:29+00,,{343BC84E-7859-0C58-E063-782F520A417E},,,7549
-8565755.39417346,4706361.55124327,CVS/PHARMACY #22,RX1000376,,320 40TH STREET NE,,Washington,DC,20019,401-765-1500,Ward 7,ANC 7F,5051N   0019,,,404555.57,136132.76,295139,,2025/05/03 12:55:29+00,,{343BC84E-785A-0C58-E063-782F520A417E},,,7550
-8582227.03944788,4709756.17632383,CVS/PHARMACY #2204,RX1000403,,4859 MACARTHUR BLVD NW,,Washington,DC,20007,401-765-1500,Ward 3,ANC 3D,"1374    0841,1374    0001",,,391721.82,138770.05,293246,,2025/05/03 12:55:29+00,,{343BC84E-785B-0C58-E063-782F520A417E},,,7551
-8573225.37579067,4718019.67613196,CVS/PHARMACY #2330,RX1000405,,110 CARROLL STREET NW,,Washington,DC,20012,401-765-1500,Ward 4,ANC 4B,3357    0060,,,398735.59,145174.77,280093,,2025/05/03 12:55:29+00,,{343BC84E-785C-0C58-E063-782F520A417E},,,7552
-8575257.93963156,4708695.07521306,CVS/PHARMACY #2817,RX1000409,,1418 P ST NW,,Washington,DC,20005,401-765-1500,Ward 2,ANC 2F,0210    0137,,,397150.8,137942.9,279148,,2025/05/03 12:55:29+00,,{343BC84E-785D-0C58-E063-782F520A417E},,,7553
-8576696.78578312,4707409.43579433,CVS/PHARMACY #2847,RX0800360,,2000 PENNSYLVANIA AVE NW,,Washington,DC,20006,401-765-1500,Ward 2,ANC 2A,0101    0058,,,396029.25,136945.71,243283,,2025/05/03 12:55:29+00,,{343BC84E-785E-0C58-E063-782F520A417E},,,7554
-8575121.57974226,4710063.08636491,CVS/PHARMACY #4546,RX0800361,,2129 14TH ST NW,,Washington,DC,20009,401-765-1500,Ward 1,ANC 1B,0235    0204,,,397257.41,139004.32,306455,,2025/05/03 12:55:29+00,,{343BC84E-785F-0C58-E063-782F520A417E},,,7555
-8579765.28116093,4712303.64110479,CVS/PHARMACY #5674,RX0000070,,3700 NEWARK ST NW,,Washington,DC,20016,401-765-1500,Ward 3,ANC 3A,1920    0061,,,393641.24,140744.57,311533,,2025/05/03 12:55:29+00,,{343BC84E-7860-0C58-E063-782F520A417E},,,7556
-8577104.92338327,4708082.03872884,CVS/PHARMACY #7074,RX1000414,,2240 M ST NW,,Washington,DC,20037,401-765-1500,Ward 2,ANC 2A,0051    0079,,,395711.5,137467.84,300189,,2025/05/03 12:55:29+00,,{343BC84E-7861-0C58-E063-782F520A417E},,,7557
-8572302.28165012,4708228.70353367,CVS/PHARMACY #7174,RX1100429,,1200 1ST ST NE,,Washington,DC,20002,401-765-1500,Ward 6,ANC 6E,"0672    0856,0672    0259",,,399453.62,137580.51,302635,,2025/05/03 12:55:29+00,,{343BC84E-7862-0C58-E063-782F520A417E},,,7558
-8570968.82027152,4700327.93843804,CEDAR HILL REGIONAL MEDICAL CENTER,RX250000127,,1200 PECAN ST SE,,Washington,DC,20032,202-715-5037,Ward 8,ANC 8C,"5868S   0859,5868S   0002",,,400492.99,131447.16,334872,,2025/05/03 12:55:29+00,,{343BC84E-7863-0C58-E063-782F520A417E},,,7559
-8568404.35438704,4710134.5989142,COMMUNITY OF HOPE PHARMACY,RX2200167,,2120 BLADENSBURG ROAD NE,,Washington,DC,20018,806-324-5400,Ward 5,ANC 5C,4258    0037,,,402490.29,139059.72,51359,,2025/05/03 12:55:29+00,,{343BC84E-7864-0C58-E063-782F520A417E},,,7560
-8566076.44786897,4710272.90118878,COSTCO PHARMACY #1120,RX1200022,,2441 MARKET STREET NE,,Washington,DC,20018,425-313-2860,Ward 5,ANC 5C,4327    0004,,,404303.72,139167.8,309925,,2025/05/03 12:55:29+00,,{343BC84E-7865-0C58-E063-782F520A417E},,,7561
-8574672.44544906,4707600.75481795,"DISTRICT OF COLUMBIA CVS PHARMACY, LLC",RX1800134,,1101 NEW YORK AVE NW,,Washington,DC,20005,401-765-1500,Ward 2,ANC 2C,"0317    0841,0317    0027",,,397606.72,137093.55,300316,,2025/05/03 12:55:29+00,,{343BC84E-7866-0C58-E063-782F520A417E},,,7562
-8572507.90191743,4704368.13451355,"DISTRICT OF COLUMBIA CVS PHARMACY, LLC DBA CVS PHARMACY #11231",RX2000159,,15 I ST. SE,,Washington,DC,20003,401-765-1500,Ward 6,ANC 8F,0697N   0075,,,399293.14,134584.16,313262,,2025/05/03 12:55:29+00,,{343BC84E-7867-0C58-E063-782F520A417E},,,7563
-8575272.77743953,4711550.63537857,"DISTRICT OF COLUMBIA CVS PHARMACY, LLC DBA CVS/ PHARMACY #17333",RX0000103,,3100 14TH STREET NW,,Washington,DC,20010,401-765-1500,Ward 1,ANC 1A,"2674    0721,2674    2001,2674    2002,2674    2003",,,397140.04,140158.41,306304,,2025/05/03 12:55:29+00,,{343BC84E-7868-0C58-E063-782F520A417E},,,7564
-8576817.28584276,4708782.96560789,DUPONT CIRCLE PHARMACY,RX1700117,,1506 21ST STREET NW,STE 100,Washington,DC,20036,202-818-8070,Ward 2,ANC 2B,0067    0063,,,395935.9,138011.63,276239,,2025/05/03 12:55:29+00,,{343BC84E-7869-0C58-E063-782F520A417E},,,7565
-8566156.31039921,4702351.58149138,DAILY CARE PHARMACY 2,RX240000123,,3845 PENNSYLVANIA AVENUE SE,,Washington,DC,20020,202-885-9474,Ward 7,ANC 7B,5673    0803,,,404244.8,133019.68,278430,,2025/05/03 12:55:29+00,,{343BC84E-786A-0C58-E063-782F520A417E},,,7566
-8574125.78983171,4709820.13445256,DISTRICT OF COLUMBIA CVS PHARMACY DBA CVS/PHARMACY #1355,RX2100166,,"2009- EIGHTH STREET, NW",,Washington,DC,20001,401-765-1500,Ward 1,ANC 1B,2877    1038,,,398033.11,138815.59,242769,,2025/05/03 12:55:29+00,,{343BC84E-786B-0C58-E063-782F520A417E},,,7567
-8572555.7152062,4697635.82263043,EXCEL PHARMACY,RX0000097,,3923 SOUTH CAPITOL STREET SW,UNIT # A,Washington,DC,20032,202-652-1776,Ward 8,ANC 8D,6150    0808,,,399255.38,129356.22,276603,,2025/05/03 12:55:29+00,,{343BC84E-786C-0C58-E063-782F520A417E},,,7568
